And another shooting... https://t.co/aYfTWoR7QJ,carolynklimp1
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,dian_simplethin
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,cgtrujilloc
.@NRA .@realDonaldTrump and yet another shooting on #POTUS watch.  Has anyone done a stats review to see if gun vio… https://t.co/ysYJCgB6K8,colonel1907
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,PradaMD
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,cgtrujilloc
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,willyboi66
Then there is this... https://t.co/PnjA2j9HY5,dian_simplethin
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,cgtrujilloc
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,dian_simplethin
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,iPulledDaTrigga
1 contractor dead and 1 in critical condition at an elementary school in Overland Park  Kansas after a co-worker sh… https://t.co/5aMbBj9mUd,PresidentDerin
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,Firefox841
Today’s shooting at an elementary in Kansas is yet another horrific reminder that we need to change something in ou… https://t.co/VPetlvBQuM,KCYDTEXAS
RT @CumberlandTN: RAW: SWAT responds  guns drawn  after elementary school shooting in Kansas https://t.co/KW77z9pPx4,cgtrujilloc
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,deborahep
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,khursheedakther
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,OlgaInterpreter
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,OlgaInterpreter
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,Espen414
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,GOPgirlWI
RT @1011_News: Authorities arrested a suspect Tuesday in a shooting that killed one contract worker and critically injured another outside…,2050CyberSurfer
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,Deafaccessjtc1
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,aryeh_wilson
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,carstarr6
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,64Mach
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,cgtrujilloc
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,mama_twiddler
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,mama_twiddler
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,Im_X1
RT @becher_casey: Another school shooting. This is about 1.5 miles from our old house. @casforachange used to have soccer practice at Sunri…,Bamdude90
RT @KCYDTEXAS: Today’s shooting at an elementary in Kansas is yet another horrific reminder that we need to change something in our country…,Aimeelorayne
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,Espen414
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,64Mach
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,_ayeehood
Niggas can’t even play at a playground no more bra https://t.co/rKiXRLmZcn,KushTUCKER_JETS
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,Avila_Golfer_42
"RT @VPCinfo: ""Two contractors were shot by a co-worker while installing playground equipment at a Kansas elementary school Tuesday morning …",sidburris
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,IzayahDoubleYou
Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,thehill
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,tresahorney
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,mydeadbro
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,InactionNever
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,OneAndOnlyMeli
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,BlueSn2018
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,trismac
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,LlareggubHall
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,Espen414
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,nwparsons
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,BillQuarks
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,BlueSn2018
Retweeted The Hill (@thehill):  Two workers shot at Kansas elementary school https://t.co/XhaGh77PCw… https://t.co/z8BcPpm1aM,nwparsons
Another school shooting that nobody really cares about https://t.co/wFZR0Vn5cS,TheMsIntrovert
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,elhami2
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,DNation17
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,mariowerner
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,LorionBI
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,FedorsBlog
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,Blaze_88
Troubled times! https://t.co/0qdNS89Jue,HeardCain
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,MikeFiveOhTwo
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,MikeFiveOhTwo
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,skau61
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,JustKZ
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,greaves46
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,congajim1
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,dokterkoko
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,4ever_arvee
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,AsaNY15
Co-worker??? https://t.co/ivIv4McvCi,TheBingle
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,jekelish
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,boogiefinger
RT @AalayahEastmond: And there’s still people saying this isn’t a problem. DONT WAIT UNTIL ITS YOU. DONT WAIT UNTIL YOU GET THAT CALL FROM…,margo_greenbaum
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,bolero2010
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,Lambert1Daniel
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,Mii85841271
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,Mii85841271
@davidhogg111   @NRA @DLoesch  2 more dead because of you!!! https://t.co/8qgtFc3hHM,monialvescamero
This is a bad thing. But it’s also a REALLY misleading headline. Two contractors shot outside of a school. Again -… https://t.co/dJhm5eRaP1,jekelish
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,AllTTV2015
RT @ABC: MORE: Suspect in shooting at Kansas elementary school still at large  police say. Suspect was a co-worker of the two victims.  Sch…,AllTTV2015
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,Thalassatx
RT @ABC: JUST IN: Suspect in shooting at Kansas elementary school in custody  police say; no injuries to officers or suspect. https://t.co/…,AllTTV2015
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,AllTTV2015
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,AllTTV2015
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,JulieRuszkowski
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,AmedeoTarnaucea
RT @KWCH12: Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/RwTOHZI8J4 #kwch12 https://t.co/HsxlJyZKHP,castadiva95
Two workers shot outside Kansas elementary school https://t.co/BuNh9dqS9F,bfs465
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,OrangeDrink2
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,burnodo
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,OrangeDrink2
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,102415A
https://t.co/F8yHXnTnao,StephenBright
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,Jackie7018
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,asweetvictori
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,bluewavemom
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,bluewavemom
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,MariaShilaos
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,camacho_resists
Contractor is arrested after shooting two of his colleagues while they installed playground equipment at a Kansas e… https://t.co/2GunK87mzv,dolly19631966
This is a bad thing  obviously  but also a misleading headline. Two construction workers outside a school were shot… https://t.co/Y7WwZJGUTv,jekelish
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,BobbyKang
😪 https://t.co/vroCNyb2m2,GugsaChalla
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,tweetwen115
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,CosmosOpoku6
Two workers shot on Kansas elementary school playground: https://t.co/cqE32thLQ8,Pewsitter
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,TheRealErinLynn
RT @becher_casey: Another school shooting. This is about 1.5 miles from our old house. @casforachange used to have soccer practice at Sunri…,casforachange
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,DrKavarga
Jesus christ https://t.co/whcTAnQ6Hr,StopTalkingThks
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,IAmRandall55
RT @MattxRed: It’s summer and we are still averaging a school shooting a week.   The school safety committee isn’t talking about guns.  The…,ReadySetRock75
RT @becher_casey: Another school shooting. This is about 1.5 miles from our old house. @casforachange used to have soccer practice at Sunri…,IronyAndPathos
RT @becher_casey: Another school shooting. This is about 1.5 miles from our old house. @casforachange used to have soccer practice at Sunri…,AbrahamAlyzah
Guns + Passion = Death.  What cynics like @LauraCarno don't get (b/c it's in her financial interest not to) is that… https://t.co/yk3yVPbOQh,CRobertBuchanan
RT @WKYTBreaking: BREAKING: Television stations are reporting the shooting happened at a suburban Kansas City elementary school. This story…,picklesthe24th
Victim of shooting outside Kansas school has died; suspect tried to escape custody https://t.co/0p2hH7oTIH,gentlemanirishN
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,stunningblueyez
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,stunningblueyez
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,stunningblueyez
Victim of shooting outside Kansas school has died; suspect tried to escape custody https://t.co/0p2hH7GuAf https://t.co/LUBGdhh4NJ,gentlemanirishN
RT @becher_casey: Another school shooting. This is about 1.5 miles from our old house. @casforachange used to have soccer practice at Sunri…,slightlyfleury
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,warrengolinski
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,CaliKsitigarbha
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,hannahlaylah
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,hwood181
BREAKING: Two Shot at Kansas Elementary School. Officers are responding to multiple scenes.   https://t.co/Sm6MzQV94B,LE_Action
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,bmitchell94619
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,Thorsenburg
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,kerr_iam
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,jets21027
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,Hand7Alex
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,TLuke06
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,SBee67
School shooting during summer school. #VoteForOurLives https://t.co/i8emoa26cm,PleaseThink1776
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,sugarbunn10
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,iNdiEpk
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,bbmom21
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,boldbizcoach
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,ISRep_NY
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,64Mach
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,btburnt
When are we going do some about these damn guns https://t.co/iqovIKwaAk,Vanahol1c
RT @RealSaavedra: Although no students were at the school when the shooting happened  far-left gun control groups will count this as a “sch…,kimmwaters4
Two workers critically wounded in shooting at Kansas school https://t.co/07OEHxfrgH,lblair51
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,Terryg1979
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,jeffAndersonUSN
Worker dies  another critically wounded after shooting outside elementary school https://t.co/46IuO6W2cN,PJaxParker
Two shot in Kansas school shooting https://t.co/XMo18TfM7o,lblair51
RT @CBSNews: WATCH: Police talk to reporters after two workers critically wounded outside elementary school in Overland Park  Kansas https:…,FreshLikePennyG
Two workers shot outside Kansas elementary school https://t.co/iqMaMM8xIT,GatzTdaMax
This continues. Why. Just why. https://t.co/DTC07v8V5Z,JD_Martinis
RT @AlBoeNEWS: #BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,crobaby101
This will be called a school shooting. It isn’t. https://t.co/flW4SmgETQ,KansasSunPower
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,normandin_jay
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,berryt_berry
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,normandin_jay
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,_aria_s_
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,JulieHullett
RT @ConservativeLA: It will be interesting to see if this shows up in gun control advocates' lists of school shootings. https://t.co/vPSbK9…,soylentblue
😞 https://t.co/kJNUuVJZgS,SkepticJoker
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,foxy_khaleesi
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,ReginaPeele
Two workers shot at Kansas elementary school https://t.co/ld1JZnb2F1,NeilsonInfo
2 shot  wounded at Kansas elementary school https://t.co/xexRMdGWpD,SkonieSkoop
RT @NeilsonInfo: Two workers shot at Kansas elementary school https://t.co/ld1JZnb2F1,KrisBrbr93
Two contractors critically wounded in Kansas school shooting https://t.co/1G1NBCfT4A https://t.co/IacnU97RAy,ABC10
Scum lol https://t.co/TiO4C4Zkif,mBarbosa_13
RT @johnny_cgrove: 2 injured in shooting outside elementary school in Kansas https://t.co/rvp20M51qZ,karylglowie13
RT @NeilsonInfo: Two workers shot at Kansas elementary school https://t.co/ld1JZnb2F1,artbizca_ching
And we’re back to postal https://t.co/Ijkw7Va7qW,Icecinder
RT @ABC10: Two contractors critically wounded in Kansas school shooting https://t.co/1G1NBCfT4A https://t.co/IacnU97RAy,Lachellepruitt9
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,teodoroalonso
RT @ABCWorldNews: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say.…,BKells8
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,MichealWyman
Two contractors critically wounded in Kansas school shooting https://t.co/jgZoA5aXK0 https://t.co/t25f2ctDjt,KHOU
RT @KHOU: Two contractors critically wounded in Kansas school shooting https://t.co/jgZoA5aXK0 https://t.co/t25f2ctDjt,carlosdanger009
RT @zephbe: 1 dead  1 injured in shooting outside elementary school in Kansas https://t.co/iZVvT1OFGp,Sheilabrandenb2
RT @thehill: JUST IN: Two workers shot at Kansas elementary school https://t.co/dGFwaGzU3r https://t.co/dlRfQz1zox,isearch4sanity
RT @NeilsonInfo: Two workers shot at Kansas elementary school https://t.co/ld1JZnb2F1,4Freedom4ever
RT @NeilsonInfo: Two workers shot at Kansas elementary school https://t.co/ld1JZnb2F1,BriHes74
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,pattibarfield
https://t.co/UROl8xTz7n,mrcharleyr
What kind of world are my children and grandchildren inheriting?  https://t.co/SfoxAcnWo7,LucyCastle11
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,Oldlady12345
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,Oldlady12345
Suspect in custody after double shooting at Kansas elementary school pla... https://t.co/crLmpdepOl via @YouTube,RileyKing1995
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,shay_ayy
Two workers critically wounded in shooting at Kansas school https://t.co/N7l0cn7G7e,BlurbBoard
RT @Dyke67ny: Enough Is Enough! @nra @realdonaldtRump @housegop @senategop https://t.co/9S87a9yYaV,iRun4Jules
RT @MattxRed: It’s summer and we are still averaging a school shooting a week.   The school safety committee isn’t talking about guns.  The…,ReadySetRock75
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,td_swanson1971
Two contractors critically wounded in Kansas school shooting https://t.co/ILFXO20Dck https://t.co/XKjyyWlove,wusa9
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,BrendaLalonde7
RT @ABC: MORE: Suspect in shooting at Kansas elementary school still at large  police say. Suspect was a co-worker of the two victims.  Sch…,allegro572
RT @wusa9: Two contractors critically wounded in Kansas school shooting https://t.co/ILFXO20Dck https://t.co/XKjyyWlove,CuteBlessedBarb
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,allegro572
RT @wusa9: Two contractors critically wounded in Kansas school shooting https://t.co/ILFXO20Dck https://t.co/XKjyyWlove,KateBarbieDoll
RT @WritingDead: #KC @AddictedtoKCMO https://t.co/DgUaNVBQ1o,AddictedtoKCMO
Two workers shot  wounded outside Kansas elementary school https://t.co/ehtWxO2F2H https://t.co/zOAsYxBngC,ibekwe80
RT @OANN: #BREAKING: 2 workers have been shot outside of Sunrise Elementary School in Kansas  no reports of students injured  search for su…,JamesWa55188246
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,BluegumPilliga
RT @wusa9: Two contractors critically wounded in Kansas school shooting https://t.co/ILFXO20Dck https://t.co/XKjyyWlove,Joseph84049218
"Does this meet the definition of a ""school shooting""? I think its a stretch. Workplace shooting. https://t.co/5iUlea8ba7",CarrforGovofCO
RT @MattxRed: It’s summer and we are still averaging a school shooting a week.   The school safety committee isn’t talking about guns.  The…,sharie_kaye
RT @WritingDead: #KC @AddictedtoKCMO https://t.co/DgUaNVBQ1o,GoldPaulyG
RT @ABC: MORE: Suspect in shooting at Kansas elementary school still at large  police say. Suspect was a co-worker of the two victims.  Sch…,GoldPaulyG
Victim of shooting outside Kansas school has died; suspect tried to escape custody - Democratic Underground… https://t.co/NC8c99O53b,LiberalLoner
https://t.co/4I07QIhmYP,koamfox14
Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/7HJHNWpIPp,JordanAubeyKOAM
RT @mrcharleyr: https://t.co/UROl8xTz7n,1BlackDiamond_7
Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/2l3zXUfbL7 https://t.co/NChiVEM2Dp,9NEWS
RT @pozvibes4u: I am sick of this senseless killing. Are we really going to accept this as normal? #GunControlNow https://t.co/5BdU3JrXrl,margare02726836
Victim of shooting outside Kansas school has died; suspect tried to escape custody - Democratic Underground… https://t.co/LwgLh4eHwP,khankiso
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,bluemajenta
RT @CBSNews: WATCH: Police talk to reporters after two workers critically wounded outside elementary school in Overland Park  Kansas https:…,pebblesgg
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,burcham_don
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,burcham_don
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,wsscherk
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,wsscherk
Victim of shooting outside Kansas school has died; suspect tried to escape custody https://t.co/I5zuPsCeEe,8DropsOfBlood
RT @RealBadFrog: @davealvord164 @drawandstrike Dave  please share this. suspect is still at large.   Black 2011 Denali with KS Tag 208BAB.…,alvinant
RT @9NEWS: Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/2l3zXUfbL7 https://t.co/NChiVEM2Dp,LocalMarket9
LW: Overland Park  Kansas shooting: Two workers critically wounded outside elementary school,bot_silo
Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/rdYr0mieMs https://t.co/YQTTIQgWcH,KREM2
UPDATE: Suspect Arrested in Kansas Elementary School Shooting #School #Shooting #whatheadlinestodayus   source: https://t.co/r84Vjw29K5,WheadlinesT_US
https://t.co/5QHKnQQMlN,56jakesmom
RT @56jakesmom: https://t.co/5QHKnQQMlN,Skreennaym
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,ToniCuriosity
"""LOCK YOUR DOORS"": A Kansas neighborhood was placed on lock down after a deadly shooting outside an elementary scho… https://t.co/YBhszaRRi4",ABCWorldNews
RT @9NEWS: Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/2l3zXUfbL7 https://t.co/NChiVEM2Dp,AcreJudi
"RT @Gvolz89: School shooting just reported at a Kansas elementary school. I swear if I read any tweets saying ""thoughts and prayers"" I'm go…",Shadyqueen10
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,burtonPburton
Another f**** shooting outside another school... eh #DJ DO SOMETHING NOW...FFS💥😠😱💦 https://t.co/digFVx1OQz,peterjonson54
"RT @ABCWorldNews: ""LOCK YOUR DOORS"": A Kansas neighborhood was placed on lock down after a deadly shooting outside an elementary school  le…",peterjonson54
"RT @ABCWorldNews: ""LOCK YOUR DOORS"": A Kansas neighborhood was placed on lock down after a deadly shooting outside an elementary school  le…",Ravenchansan
We make WNT again. @kmbc @BrianKMBC continues our coverage at 10 https://t.co/CRFc6IsyQp,LaraMoritzKMBC
RT @peterjonson54: Another f**** shooting outside another school... eh #DJ DO SOMETHING NOW...FFS💥😠😱💦 https://t.co/digFVx1OQz,peterjonson54
UPDATE: Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/BpWa5ye9Fz,A_D_Seri
"RT @ABCWorldNews: ""LOCK YOUR DOORS"": A Kansas neighborhood was placed on lock down after a deadly shooting outside an elementary school  le…",RachelFurman105
